"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4203202";"";"None";"240.24";"0";"2.90";"8, E:Z Mixture (67:33)";"O=C1Nc2ccccc2C1=Nc1ccccc1F";"IC50";"'='";"3290.0";"nM";"5.48";"";"";"UO_0000065";"22.82";"0.42";"2.58";"13.22";"0";"CHEMBL4192179";"Inhibition of recombinant catalytic human GST-tagged LLRK2 G2019S mutant (970 to 2527 residues) expressed in baculovirus expression system using LRRKtide as substrate after 1 hr by alexaFluor-ADP-based FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4190250";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL3978913";"";"None";"353.43";"0";"3.03";"BDBM239272";"CCOc1ccc2[nH]nc(-c3cc(N4C[C@@H](C)O[C@@H](C)C4)ncn3)c2c1";"IC50";"'='";"12.75";"nM";"7.89";"";"417731";"UO_0000065";"22.34";"0.41";"4.86";"10.37";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3979762";"";"None";"361.41";"0";"2.26";"BDBM239080";"Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)cn1";"IC50";"'='";"41.0";"nM";"7.39";"";"417363";"UO_0000065";"20.44";"0.37";"5.13";"8.72";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3890426";"";"None";"388.48";"0";"2.56";"BDBM239082";"CCN1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1";"IC50";"'='";"14.0";"nM";"7.85";"";"417365";"UO_0000065";"20.22";"0.37";"5.29";"9.97";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3953967";"";"None";"373.41";"0";"4.04";"BDBM239195";"CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(F)(F)CC4)ncn3)c2c1";"IC50";"'='";"14.8";"nM";"7.83";"";"417653";"UO_0000065";"20.97";"0.40";"3.79";"11.70";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3933109";"";"None";"371.42";"0";"3.17";"BDBM239223";"CC(C)Oc1cc2c(-c3cc(N4CCO[C@@H](C)C4)ncn3)n[nH]c2cc1F";"IC50";"'='";"5.01";"nM";"8.30";"";"417684";"UO_0000065";"22.35";"0.42";"5.13";"10.90";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3897231";"";"None";"448.52";"0";"2.42";"BDBM239252";"CCS(=O)(=O)N1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1";"IC50";"'='";"2.24";"nM";"8.65";"";"417713";"UO_0000065";"19.29";"0.38";"6.23";"8.29";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3967517";"";"None";"382.47";"0";"1.92";"BDBM239318";"CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCO)CC4)ncn3)c2c1";"IC50";"'='";"7.4";"nM";"8.13";"";"417786";"UO_0000065";"21.26";"0.40";"6.21";"8.99";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3955983";"";"None";"437.55";"0";"2.45";"BDBM239343";"CC(C)NC(=O)CN1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1";"IC50";"'='";"5.1";"nM";"8.29";"";"417811";"UO_0000065";"18.95";"0.35";"5.84";"8.35";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL4107947";"";"None";"375.44";"0";"2.65";"BDBM239391";"CO[C@@H]1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)C1";"IC50";"'='";"4.0";"nM";"8.40";"";"417857";"UO_0000065";"22.37";"0.41";"5.75";"9.91";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3975424";"";"None";"409.48";"0";"1.66";"BDBM239408";"Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCS(=O)(=O)CC5)ncn4)c3c2)cn1";"IC50";"'='";"22.4";"nM";"7.65";"";"417874";"UO_0000065";"18.68";"0.36";"5.99";"6.98";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3957537";"";"None";"381.39";"0";"3.27";"BDBM239416";"Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCC(F)(F)C5)ncn4)c3c2)cn1";"IC50";"'='";"3.7";"nM";"8.43";"";"417882";"UO_0000065";"22.11";"0.41";"5.16";"11.16";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3946153";"";"None";"385.44";"0";"3.56";"BDBM239444";"CC(C)Oc1cc2c(-c3cc(N4[C@H](C)COC[C@@H]4C)ncn3)n[nH]c2cc1F";"IC50";"'='";"5.4";"nM";"8.27";"";"417910";"UO_0000065";"21.45";"0.40";"4.71";"10.86";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3984092";"";"None";"390.45";"0";"3.60";"BDBM239491";"Cc1nocc1-c1ccc2[nH]nc(-c3cc(N4C[C@@H](C)O[C@@H](C)C4)ncn3)c2c1";"IC50";"'='";"40.0";"nM";"7.40";"";"417956";"UO_0000065";"18.95";"0.35";"3.80";"7.96";"0";"CHEMBL3888825";"LanthaScreen™ Assay (5 mM ATP): a) 400 nl of a 1:2.15 serial dilution of test compound(98 μM top assay concentration) is spotted via Labcyte Echo to certain wells in a 384 well black, untreated plate. Control wells contain 400 nl of either DMSO or 400 nl of a known inhibitor in DMSO. b) 10 μl of a 2.5 nM LRRK2(G2019S mutation, GST-LRRK2(amino acids 970-2527)) enzyme solution in 1× assay buffer(50 mM Tris pH 8.5, 10 mM MgCl2, 0.01% Brij-35, 1.0 mM EGTA, 2 mM DTT, 0.05 mM NaVO4) is added to all wells. c) A 30 minute room temperature incubation is followed by addition of 10 μl of 800 nM fluorescein labeled LRRKtide peptide substrate and 10 mM ATP solution in 1× assay buffer to all wells. d) After a 35 minute room temperature incubation, 20 μl of TR-FRET Dilution Buffer(Invitrogen PV3756B) containing 4 nM Tb-labeled anti-phospho LRRKtide antibody and 20 mM EDTA is added to all wells. e) Plates are incubated at room temperature for 1 hour and read on an Envision™ multi-mode plate reader with LanthaScreen™ settings. Results are analysed using Assay Data Analyzer.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886204";"37";"BindingDB Database";"";"2016";"None";"";"";""
"CHEMBL3898946";"";"None";"318.38";"0";"2.42";"BDBM185476";"N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC(N)C4)c23)c1";"IC50";"'='";"21.0";"nM";"7.68";"";"334660";"UO_0000065";"24.12";"0.44";"5.26";"8.11";"0";"CHEMBL3887346";"Lantha Screen Technology Assay: LRRK2 kinase activity was measured using Lantha Screen technology from Invitrogen. GST-tagged truncated LRRK2 from Invitrogen (Cat # PV4874) was incubated with a fluorescein-labeled peptide substrate based upon ezrin/radixin/moesin (ERM), also known as LRRKtide (Invitrogen cat #PR8976A), in the presence of a dose response of compound. Upon completion, the assay was stopped and detected with a terbium labeled anti-phospho-ERM antibody (Invitrogen, cat #PR8975A). The assay was carried out under the following protocol: 3 uL of a working solution of substrate (233 nM LRRKtide, 117 uM ATP) prepared in assay buffer (50 mM HEEPES, pH 7.5, 3 mM MgCl2, with 2 mM DTT and 0.01% Brij35 added fresh) was added to a low volume Greiner 384-well plate. The compound dose response was prepared by diluting compound to a top concentration of 3.16 mM in 100% DMSO and serial diluted by half-log in DMSO 11 times. Aliquots (3.5 uL) of the 100% DMSO dose response were mixed with 46.5 uL water.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886286";"37";"BindingDB Database";"";"2015";"None";"";"";""
"CHEMBL3901157";"";"None";"436.48";"0";"3.65";"BDBM185484";"N#Cc1cccc(OCC2CN(c3ncnc4[nH]cc(-c5cccc(C#N)c5)c34)CCO2)c1";"IC50";"'='";"51.0";"nM";"7.29";"";"334668";"UO_0000065";"16.71";"0.30";"3.64";"6.58";"0";"CHEMBL3887346";"Lantha Screen Technology Assay: LRRK2 kinase activity was measured using Lantha Screen technology from Invitrogen. GST-tagged truncated LRRK2 from Invitrogen (Cat # PV4874) was incubated with a fluorescein-labeled peptide substrate based upon ezrin/radixin/moesin (ERM), also known as LRRKtide (Invitrogen cat #PR8976A), in the presence of a dose response of compound. Upon completion, the assay was stopped and detected with a terbium labeled anti-phospho-ERM antibody (Invitrogen, cat #PR8975A). The assay was carried out under the following protocol: 3 uL of a working solution of substrate (233 nM LRRKtide, 117 uM ATP) prepared in assay buffer (50 mM HEEPES, pH 7.5, 3 mM MgCl2, with 2 mM DTT and 0.01% Brij35 added fresh) was added to a low volume Greiner 384-well plate. The compound dose response was prepared by diluting compound to a top concentration of 3.16 mM in 100% DMSO and serial diluted by half-log in DMSO 11 times. Aliquots (3.5 uL) of the 100% DMSO dose response were mixed with 46.5 uL water.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886286";"37";"BindingDB Database";"";"2015";"None";"";"";""
"CHEMBL3986654";"";"None";"346.39";"0";"2.20";"BDBM185486";"N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC(C(N)=O)C4)c23)c1";"IC50";"'='";"136.0";"nM";"6.87";"";"334670";"UO_0000065";"19.82";"0.36";"4.67";"6.15";"0";"CHEMBL3887346";"Lantha Screen Technology Assay: LRRK2 kinase activity was measured using Lantha Screen technology from Invitrogen. GST-tagged truncated LRRK2 from Invitrogen (Cat # PV4874) was incubated with a fluorescein-labeled peptide substrate based upon ezrin/radixin/moesin (ERM), also known as LRRKtide (Invitrogen cat #PR8976A), in the presence of a dose response of compound. Upon completion, the assay was stopped and detected with a terbium labeled anti-phospho-ERM antibody (Invitrogen, cat #PR8975A). The assay was carried out under the following protocol: 3 uL of a working solution of substrate (233 nM LRRKtide, 117 uM ATP) prepared in assay buffer (50 mM HEEPES, pH 7.5, 3 mM MgCl2, with 2 mM DTT and 0.01% Brij35 added fresh) was added to a low volume Greiner 384-well plate. The compound dose response was prepared by diluting compound to a top concentration of 3.16 mM in 100% DMSO and serial diluted by half-log in DMSO 11 times. Aliquots (3.5 uL) of the 100% DMSO dose response were mixed with 46.5 uL water.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886286";"37";"BindingDB Database";"";"2015";"None";"";"";""
